name_with_owner,stars,created_at,updated_at,pull_requests,total_releases,primary_language,open_issues,closed_issues,percentual
GeekyAnts/NativeBase,19940,2016-04-15,2024-03-06,1700,227,TypeScript,265,3161,92.26503210741389
didi/DoKit,19876,2018-08-14,2024-03-06,348,10,Java,214,485,69.38483547925608
ReactiveX/RxAndroid,19847,2014-08-19,2024-03-06,182,20,Java,1,349,99.71428571428571
actix/actix-web,19839,2017-09-30,2024-03-06,1108,432,Rust,154,1384,89.98699609882965
icsharpcode/ILSpy,19836,2011-02-04,2024-03-06,530,70,C#,207,2127,91.13110539845758
WZMIAOMIAO/deep-learning-for-image-processing,19819,2019-11-14,2024-03-06,361,0,Python,53,336,86.37532133676092
jhao104/proxy_pool,19815,2016-11-25,2024-03-06,143,3,Python,270,322,54.391891891891895
jsdom/jsdom,19792,2010-01-19,2024-03-06,831,48,JavaScript,459,1786,79.55456570155903
xi-editor/xi-editor,19790,2016-04-26,2024-03-06,674,0,Rust,135,397,74.62406015037594
iampawan/FlutterExampleApps,19778,2018-04-13,2024-03-06,8,0,Dart,15,23,60.526315789473685
SnapKit/SnapKit,19715,2014-06-05,2024-03-06,131,14,Swift,31,546,94.62738301559793
lizongying/my-tv,19702,2023-12-04,2024-03-06,9,36,C,150,361,70.64579256360078
sqlitebrowser/sqlitebrowser,19693,2014-05-04,2024-03-06,481,39,C++,653,2188,77.0151355156635
TeamStuQ/skill-map,19659,2015-11-17,2024-03-06,42,2,HTML,67,19,22.093023255813954
SortableJS/Vue.Draggable,19617,2016-06-28,2024-03-06,52,52,JavaScript,228,847,78.79069767441861
kingToolbox/WindTerm,19610,2019-10-09,2024-03-06,1,28,C,1532,460,23.09236947791165
jbhuang0604/awesome-computer-vision,19610,2015-01-16,2024-03-06,38,0,,20,3,13.043478260869565
nvie/gitflow,26467,2010-01-20,2024-03-06,36,0,Shell,235,126,34.903047091412745
rethinkdb/rethinkdb,26464,2012-10-30,2024-03-06,460,72,C++,1340,5041,79.0001567152484
alpinejs/alpine,26415,2019-11-28,2024-03-06,605,123,HTML,0,597,100.0
pbatard/rufus,26371,2011-11-19,2024-03-06,1,79,C,9,2198,99.59220661531491
qier222/YesPlayMusic,26352,2020-10-09,2024-03-06,272,30,Vue,511,1139,69.03030303030303
ajaxorg/ace,26291,2010-10-27,2024-03-06,1738,69,JavaScript,112,2927,96.31457716354063
CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,26255,2013-01-14,2024-03-06,243,0,Jupyter Notebook,154,90,36.885245901639344
cfenollosa/os-tutorial,26177,2014-09-29,2024-03-06,11,0,C,70,101,59.06432748538012
codex-team/editor.js,26174,2015-11-28,2024-03-06,781,68,TypeScript,529,855,61.77745664739884
GitbookIO/gitbook,26161,2014-03-31,2024-03-06,214,0,JavaScript,0,0,0.0
facebookresearch/Detectron,26102,2017-10-05,2024-03-06,0,0,Python,306,619,66.91891891891892
OWASP/CheatSheetSeries,26081,2018-12-21,2024-03-06,822,0,Python,40,371,90.2676399026764
ToolJet/ToolJet,26070,2021-03-30,2024-03-06,4155,166,JavaScript,572,3112,84.47339847991314
google/python-fire,26051,2017-02-21,2024-03-06,76,9,Python,122,184,60.130718954248366
k3s-io/k3s,26031,2018-05-31,2024-03-06,3104,696,Go,158,5164,97.03119128147313
Pierian-Data/Complete-Python-3-Bootcamp,26002,2018-02-12,2024-03-06,12,0,Jupyter Notebook,121,211,63.55421686746988
go-kit/kit,25990,2015-02-03,2024-03-06,478,13,Go,36,524,93.57142857142857
schollz/croc,25971,2017-10-17,2024-03-06,169,148,Go,98,329,77.04918032786885
numpy/numpy,25912,2010-09-13,2024-03-06,11098,109,Python,1897,10328,84.48261758691207
tj/commander.js,25909,2011-08-14,2024-03-06,706,78,JavaScript,10,1040,99.04761904761905
remy/nodemon,25908,2010-10-03,2024-03-06,303,93,JavaScript,8,1621,99.50890116635973
aseprite/aseprite,25908,2014-08-19,2024-03-06,237,100,C++,1484,2154,59.20835623969214
statelyai/xstate,25888,2015-09-14,2024-03-06,1783,332,TypeScript,56,1219,95.6078431372549
penpot/penpot,25858,2015-12-29,2024-03-06,2478,36,Clojure,318,951,74.94089834515366
milvus-io/milvus,25819,2019-09-16,2024-03-06,16623,363,Go,544,9631,94.65356265356264
JakeChampion/fetch,25803,2014-10-13,2024-03-06,196,56,JavaScript,3,646,99.53775038520801
microsoft/Data-Science-For-Beginners,25801,2021-03-03,2024-03-06,293,0,Jupyter Notebook,18,95,84.070796460177
rstacruz/nprogress,25800,2013-08-20,2024-03-06,34,7,JavaScript,102,52,33.76623376623377
dokku/dokku,25784,2013-06-08,2024-03-06,3343,267,Shell,20,2611,99.2398327632079
bvaughn/react-virtualized,25783,2015-11-03,2024-03-06,453,5,JavaScript,446,740,62.394603709949415
backstage/backstage,25780,2020-01-24,2024-03-06,14385,309,TypeScript,459,4821,91.30681818181819
select2/select2,25764,2012-03-04,2024-03-06,708,29,JavaScript,91,4697,98.09941520467837
eugeneyan/applied-ml,25726,2020-07-04,2024-03-06,207,0,,2,22,91.66666666666666
OpenBB-finance/OpenBBTerminal,25722,2020-12-20,2024-03-06,3493,30,Python,255,1757,87.32604373757455
hashicorp/vagrant,25715,2010-01-21,2024-03-06,2669,120,Ruby,644,8811,93.18878900052881
maybe-finance/maybe,25665,2024-01-01,2024-03-06,210,0,Ruby,1,155,99.35897435897436
request/request,25655,2011-01-23,2024-03-06,650,0,JavaScript,98,2174,95.68661971830986
servo/servo,25622,2012-02-08,2024-03-06,15750,0,,3222,8953,73.5359342915811
Modernizr/Modernizr,25598,2009-09-25,2024-03-06,805,25,JavaScript,169,1318,88.6348352387357
ggreer/the_silver_searcher,25594,2011-11-19,2024-03-06,399,0,C,427,410,48.98446833930705
lutzroeder/netron,25593,2010-12-26,2024-03-06,1,2,JavaScript,26,1025,97.52616555661275
JakeWharton/butterknife,25581,2013-03-05,2024-03-06,346,0,Java,99,1088,91.65964616680708
vadimdemedes/ink,25518,2017-06-12,2024-03-06,201,50,TypeScript,46,286,86.14457831325302
zhiwehu/Python-programming-exercises,25476,2012-06-14,2024-03-06,0,0,,63,12,16.0
cmderdev/cmder,25474,2013-07-09,2024-03-06,420,33,C++,38,2208,98.30810329474622
pmndrs/react-three-fiber,25471,2019-02-25,2024-03-06,563,94,TypeScript,37,909,96.08879492600423
facebookresearch/fastText,25468,2016-07-16,2024-03-06,12,4,HTML,467,611,56.679035250463826
huiyadanli/RevokeMsgPatcher,25445,2019-07-21,2024-03-06,8,17,C#,44,543,92.50425894378195
michalsnik/aos,25410,2015-07-09,2024-03-06,38,0,JavaScript,324,358,52.49266862170088
mpv-player/mpv,25389,2012-10-13,2024-03-06,2256,84,C,878,8634,90.76955424726661
spf13/viper,25386,2014-04-02,2024-03-06,390,27,Go,388,453,53.86444708680143
dmlc/xgboost,25376,2014-02-06,2024-03-06,4040,56,C++,359,4727,92.94140778607944
linexjlin/GPTs,25315,2023-11-11,2024-03-06,37,0,,6,16,72.72727272727273
MichaelCade/90DaysOfDevOps,25311,2021-12-26,2024-03-06,339,2,Shell,7,75,91.46341463414635
fastai/fastai,25304,2017-09-09,2024-03-06,1675,51,Jupyter Notebook,190,1586,89.3018018018018
swagger-api/swagger-ui,25277,2011-07-15,2024-03-06,2920,320,JavaScript,1036,4300,80.58470764617691
JushBJJ/Mr.-Ranedeer-AI-Tutor,25254,2023-03-31,2024-03-06,19,3,,10,33,76.74418604651163
powerline/fonts,25232,2012-12-19,2024-03-06,72,1,Shell,152,95,38.46153846153847
mlabonne/llm-course,25199,2023-06-17,2024-03-06,1,0,Jupyter Notebook,20,17,45.94594594594595
ycm-core/YouCompleteMe,25197,2012-04-16,2024-03-06,777,0,Python,13,3204,99.59589679825925
mongodb/mongo,25193,2009-01-15,2024-03-06,125,0,C++,0,0,0.0
sampotts/plyr,25190,2015-02-14,2024-03-06,382,88,JavaScript,845,1211,58.900778210116734
nextcloud/server,25168,2016-06-02,2024-03-06,21460,205,PHP,2251,15506,87.32330911753111
coder2gwy/coder2gwy,25159,2020-12-30,2024-03-06,2,0,,120,28,18.91891891891892
sindresorhus/awesome-electron,25143,2015-04-23,2024-03-06,266,0,,1,42,97.67441860465115
pjreddie/darknet,25125,2014-04-11,2024-03-06,10,0,C,1799,554,23.544411389715258
dnSpy/dnSpy,25123,2015-07-01,2024-03-06,53,1,C#,0,0,0.0
hollischuang/toBeTopJavaer,25107,2018-10-25,2024-03-06,52,0,Java,56,71,55.90551181102362
ageron/handson-ml,25101,2016-02-16,2024-03-06,56,0,Jupyter Notebook,126,434,77.5
mckaywrigley/chatbot-ui,25065,2023-03-11,2024-03-06,252,0,TypeScript,43,769,94.70443349753694
mbeaudru/modern-js-cheatsheet,25028,2017-09-18,2024-03-06,83,0,,9,42,82.35294117647058
quasarframework/quasar,25016,2015-10-05,2024-03-06,3550,851,JavaScript,452,7141,94.0471486895825
terryum/awesome-deep-learning-papers,25006,2016-06-03,2024-03-06,39,0,TeX,15,11,42.30769230769231
google/mediapipe,24974,2019-06-13,2024-03-06,157,52,C++,256,4479,94.59345300950369
directus/directus,24950,2012-12-12,2024-03-06,6702,290,TypeScript,438,7300,94.33962264150944
akveo/ngx-admin,24944,2016-05-25,2024-03-06,343,19,TypeScript,413,1328,76.27800114876507
emscripten-core/emscripten,24941,2011-02-12,2024-03-06,10315,0,C++,1624,7246,81.69109357384443
StevenBlack/hosts,24918,2012-04-12,2024-03-06,457,628,Python,71,1772,96.14758545849159
littlecodersh/ItChat,24878,2016-01-19,2024-03-06,29,13,Python,265,618,69.98867497168743
zadam/trilium,24861,2017-05-23,2024-03-06,248,294,JavaScript,980,2391,70.92850786116878
airbnb/lottie-ios,24800,2016-10-06,2024-03-06,685,65,Swift,14,1325,98.95444361463778
nylas/nylas-mail,24789,2014-10-16,2024-03-06,139,53,JavaScript,980,2442,71.36177673874927
SDWebImage/SDWebImage,24767,2009-09-21,2024-03-06,915,143,Objective-C,68,2216,97.02276707530648
freqtrade/freqtrade,24765,2017-05-17,2024-03-06,4836,81,Python,40,4333,99.08529613537618
signalapp/Signal-Android,24717,2011-12-15,2024-03-06,238,0,Java,310,10292,97.07602339181285
surrealdb/surrealdb,24698,2021-12-09,2024-03-06,874,26,Rust,454,751,62.32365145228216
pola-rs/polars,24696,2020-05-13,2024-03-06,7398,138,Rust,1363,5370,79.756423585326
google/comprehensive-rust,24693,2022-12-21,2024-03-06,1398,0,Rust,98,138,58.47457627118644
getredash/redash,24679,2013-10-28,2024-03-06,3064,98,Python,543,1886,77.64512144915602
astral-sh/ruff,24656,2022-08-09,2024-03-06,5666,292,Rust,683,3264,82.69571826703826
nothings/stb,24647,2014-05-25,2024-03-06,280,0,C,130,663,83.60655737704919
haizlin/fe-interview,24625,2019-04-17,2024-03-06,8,2,JavaScript,5654,25,0.4402183483007572
scwang90/SmartRefreshLayout,24613,2017-06-02,2024-03-06,12,12,Java,316,1209,79.27868852459017
deezer/spleeter,24605,2019-09-26,2024-03-06,49,2,Python,201,561,73.62204724409449
Vision-CAIR/MiniGPT-4,24594,2023-04-15,2024-03-06,19,0,Python,309,119,27.80373831775701
dotnet-architecture/eShopOnContainers,24591,2016-10-05,2024-03-06,538,11,C#,46,1208,96.33173843700159
rollup/rollup,24575,2015-05-14,2024-03-06,1848,454,JavaScript,502,2722,84.42928039702234
greenrobot/EventBus,24555,2012-07-16,2024-03-06,31,7,Java,100,480,82.75862068965517
nicolargo/glances,24545,2011-12-04,2024-03-06,642,34,Python,226,1532,87.14448236632538
gchq/CyberChef,24526,2016-11-28,2024-03-06,414,431,JavaScript,325,551,62.89954337899544
geektutu/7days-golang,14431,2019-08-10,2024-03-06,8,0,Go,34,20,37.03703703703704
aio-libs/aiohttp,14424,2013-10-01,2024-03-06,3990,140,Python,418,2449,85.42029996512034
skywind3000/kcp,14409,2014-12-26,2024-03-06,38,4,C,158,178,52.976190476190474
gnachman/iTerm2,14396,2011-04-07,2024-03-06,251,0,Objective-C,0,0,0.0
dgtlmoon/changedetection.io,14389,2021-01-27,2024-03-06,529,86,Python,173,784,81.9226750261233
frida/frida,14353,2013-04-12,2024-03-06,103,551,Makefile,1490,1102,42.51543209876543
qinguoyi/TinyWebServer,14344,2019-05-29,2024-03-06,14,0,C++,67,149,68.98148148148148
edent/SuperTinyIcons,14340,2017-04-13,2024-03-06,433,1,JavaScript,8,236,96.72131147540983
leon-ai/leon,14332,2019-02-10,2024-03-06,47,18,TypeScript,75,210,73.68421052631578
yujiangshui/A-Programmers-Guide-to-English,14332,2018-07-20,2024-03-06,3,2,,7,19,73.07692307692307
hashicorp/nomad,14304,2015-06-01,2024-03-06,11917,160,Go,1501,5082,77.19884551116513
dogecoin/dogecoin,14291,2013-12-06,2024-03-06,1280,40,C++,132,1072,89.03654485049833
ReVanced/revanced-manager,14267,2022-03-18,2024-03-06,388,129,Dart,86,1103,92.76703111858706
TheAlgorithms/Go,14264,2016-08-20,2024-03-06,347,3,Go,7,69,90.78947368421053
tinygo-org/tinygo,14259,2018-06-07,2024-03-06,2199,38,Go,407,1023,71.53846153846153
scala/scala,14255,2011-12-01,2024-03-06,8249,73,Scala,0,0,0.0
PrefectHQ/prefect,14184,2018-06-29,2024-03-06,6265,240,Python,619,3925,86.37764084507043
yiisoft/yii2,14178,2012-02-13,2024-03-06,5210,67,PHP,479,11024,95.83586890376424
mxcl/PromiseKit,14167,2014-04-04,2024-03-05,322,81,Swift,14,846,98.37209302325581
textmate/textmate,14157,2012-08-08,2024-03-06,90,194,Objective-C++,0,0,0.0
zhisheng17/flink-learning,14146,2019-01-01,2024-03-06,15,0,Java,0,0,0.0
AliaksandrSiarohin/first-order-model,14129,2019-12-11,2024-03-06,30,0,Jupyter Notebook,298,228,43.346007604562736
apprenticeharper/DeDRM_tools,14118,2015-03-09,2024-03-06,89,81,Python,829,1148,58.06777946383409
tinymce/tinymce,14115,2010-01-11,2024-03-06,2130,0,TypeScript,1273,5015,79.75508905852418
kubesphere/kubesphere,14102,2018-04-21,2024-03-06,1584,21,Go,441,3533,88.9028686462003
shelljs/shelljs,14098,2012-03-02,2024-03-06,396,16,JavaScript,100,524,83.97435897435898
leptos-rs/leptos,14098,2022-07-31,2024-03-06,1224,44,Rust,73,700,90.55627425614489
vernesong/OpenClash,14097,2019-05-29,2024-03-06,104,162,JavaScript,46,3110,98.5424588086185
Rapptz/discord.py,14095,2015-08-21,2024-03-06,1361,0,Python,60,2813,97.91159067177166
chenshuo/muduo,14072,2010-05-05,2024-03-06,86,18,C++,27,341,92.66304347826086
MengTo/Spring,14061,2014-12-26,2024-03-06,60,0,Swift,131,93,41.517857142857146
fathyb/carbonyl,14049,2023-01-20,2024-03-06,39,2,Rust,63,55,46.61016949152542
CoatiSoftware/Sourcetrail,14031,2015-12-09,2024-03-06,168,9,C++,356,681,65.6702025072324
doocs/source-code-hunter,14023,2019-10-28,2024-03-06,115,0,Java,9,19,67.85714285714286
getlantern/lantern,14017,2011-02-17,2024-03-06,548,137,Go,0,0,0.0
trufflesuite/truffle,14013,2015-06-29,2024-03-05,2448,280,TypeScript,508,2418,82.63841421736159
fbsamples/f8app,13996,2016-03-10,2024-03-06,43,0,JavaScript,19,187,90.77669902912622
networkx/networkx,13982,2010-09-06,2024-03-06,2808,54,Python,169,2967,94.6109693877551
video-dev/hls.js,13973,2015-01-30,2024-03-06,2869,284,TypeScript,156,2610,94.36008676789588
arc53/DocsGPT,13958,2023-02-02,2024-03-06,395,7,Python,80,228,74.02597402597402
OpenRA/OpenRA,13948,2010-10-04,2024-03-06,8278,99,C#,1459,7636,83.9582188015393
Bash-it/bash-it,13945,2010-10-02,2024-03-06,1232,13,Shell,34,595,94.5945945945946
blakeblackshear/frigate,13924,2019-01-26,2024-03-06,1381,115,Python,255,4653,94.8044009779951
geeeeeeeeek/electronic-wechat,13924,2016-02-18,2024-03-06,59,7,JavaScript,198,395,66.61045531197301
diegomura/react-pdf,13923,2016-10-18,2024-03-06,614,276,JavaScript,411,1264,75.46268656716418
TKkk-iOSer/WeChatPlugin-MacOS,13921,2017-04-20,2024-03-05,7,15,Objective-C,144,433,75.04332755632582
hindupuravinash/the-gan-zoo,13889,2017-04-14,2024-03-06,46,0,Python,17,17,50.0
NVlabs/stylegan,13873,2019-02-04,2024-03-06,0,0,Python,0,0,0.0
TranslucentTB/TranslucentTB,13869,2017-01-10,2024-03-06,55,15,C++,118,780,86.8596881959911
google/WebFundamentals,13855,2014-04-28,2024-03-05,4887,3,JavaScript,1176,2755,70.08394810480793
horovod/horovod,13850,2017-08-09,2024-03-06,1323,24,Python,364,1857,83.61098604232328
foreversd/forever,13845,2010-09-27,2024-03-06,101,3,JavaScript,317,606,65.6554712892741
sindresorhus/got,13831,2014-03-27,2024-03-06,521,135,TypeScript,104,1327,92.73235499650593
tgbot-collection/YYeTsBot,13826,2019-08-15,2024-03-06,39,2,Python,0,83,100.0
NodeBB/NodeBB,13781,2013-04-22,2024-03-06,3635,264,JavaScript,123,7725,98.43272171253822
CoderMJLee/MJRefresh,13758,2014-05-23,2024-03-06,110,38,Objective-C,42,1335,96.94989106753813
Tencent/rapidjson,13752,2014-03-04,2024-03-06,507,5,C++,619,898,59.19578114700066
sorin-ionescu/prezto,13737,2010-12-16,2024-03-06,356,0,Shell,141,903,86.49425287356321
exaloop/codon,13720,2021-09-27,2024-03-06,92,9,C++,171,211,55.235602094240846
wkhtmltopdf/wkhtmltopdf,13665,2009-08-07,2024-03-06,98,15,C++,1331,2302,63.36361134048995
jupyterlab/jupyterlab,13653,2016-06-03,2024-03-06,6969,186,TypeScript,2341,5724,70.97334159950402
interagent/http-api-design,13645,2014-05-07,2024-03-06,39,0,,30,17,36.17021276595745
sparanoid/chinese-copywriting-guidelines,13644,2014-03-17,2024-03-06,64,2,,16,62,79.48717948717949
radix-ui/primitives,13638,2020-06-19,2024-03-06,798,0,TypeScript,290,899,75.60975609756098
influxdata/telegraf,13633,2015-04-01,2024-03-06,5569,174,Go,346,7042,95.31672983216026
vurtun/nuklear,13632,2015-03-25,2024-03-06,200,0,C,207,451,68.54103343465046
chriskempson/tomorrow-theme,13627,2011-02-14,2024-03-06,131,0,CSS,0,0,0.0
microsoft/nni,13619,2018-06-01,2024-03-06,3002,40,Python,364,1677,82.16560509554141
apache/pulsar,13612,2016-06-28,2024-03-06,12599,76,Java,999,5684,85.05162352237019
pjialin/py12306,13602,2019-01-07,2024-03-06,35,1,Python,163,255,61.004784688995215
golang-migrate/migrate,13588,2018-01-19,2024-03-06,227,48,Go,231,349,60.17241379310345
angular-ui/ui-router,13571,2013-01-18,2024-03-06,313,60,TypeScript,22,3169,99.31056095267941
codelucas/newspaper,13571,2013-11-25,2024-03-06,154,2,Python,405,266,39.642324888226526
avwo/whistle,13553,2015-03-13,2024-03-06,71,0,JavaScript,17,890,98.12568908489526
lgvalle/Material-Animations,13544,2015-03-08,2024-03-05,12,0,Java,14,28,66.66666666666666
vpncn/vpncn.github.io,13544,2020-02-14,2024-03-06,0,0,HTML,0,0,0.0
virgili0/Virgilio,13534,2019-03-12,2024-03-06,100,0,Jupyter Notebook,15,23,60.526315789473685
psf/requests-html,13522,2018-02-24,2024-03-05,74,1,Python,176,219,55.44303797468354
HumanAIGC/AnimateAnyone,13511,2023-11-28,2024-03-06,0,0,,51,15,22.727272727272727
rjsf-team/react-jsonschema-form,13510,2015-12-16,2024-03-06,1287,197,TypeScript,273,1792,86.77966101694915
kettanaito/naming-cheatsheet,13499,2017-06-30,2024-03-06,19,0,,14,23,62.16216216216216
OpenGenus/cosmos,13476,2017-09-16,2024-03-06,3064,0,C++,1029,374,26.657163221667858
rockerBOO/awesome-neovim,13471,2020-09-18,2024-03-06,929,0,,3,82,96.47058823529412
airbytehq/airbyte,13461,2020-07-27,2024-03-06,14344,354,Python,1681,11713,87.44960430043302
foxlet/macOS-Simple-KVM,13450,2019-04-22,2024-03-06,19,0,Shell,327,216,39.77900552486188
pandao/editor.md,13444,2015-02-01,2024-03-06,19,6,JavaScript,536,374,41.098901098901095
jessfraz/dockerfiles,13438,2014-09-11,2024-03-05,281,0,Dockerfile,57,148,72.1951219512195
tink-crypto/tink,13434,2014-06-06,2024-03-06,134,21,Java,4,464,99.14529914529915
facebookarchive/AsyncDisplayKit,13427,2014-06-27,2024-03-05,1662,27,Objective-C++,24,1344,98.24561403508771
tidwall/gjson,13427,2016-08-11,2024-03-06,27,0,Go,69,227,76.6891891891892
louischatriot/nedb,13416,2013-05-01,2024-03-05,33,0,JavaScript,168,401,70.47451669595782
openai/evals,13406,2023-01-23,2024-03-06,618,0,Python,82,110,57.291666666666664
PuerkitoBio/goquery,13400,2012-08-29,2024-03-06,61,17,Go,3,363,99.18032786885246
Bigkoo/Android-PickerView,13390,2014-12-28,2024-03-06,32,0,Java,417,535,56.19747899159664
Wechat-ggGitHub/Awesome-GitHub-Repo,13386,2021-12-27,2024-03-06,0,0,,127,13,9.285714285714286
DrkSephy/es6-cheatsheet,13353,2016-01-21,2024-03-05,52,0,JavaScript,5,24,82.75862068965517
felipefialho/frontend-challenges,13346,2017-03-01,2024-03-06,110,0,,1,23,95.83333333333334
seaswalker/spring-analysis,13319,2016-09-09,2024-03-06,7,0,Java,11,4,26.666666666666668
chartist-js/chartist,13306,2014-03-09,2024-03-06,140,13,TypeScript,198,920,82.28980322003578
arangodb/arangodb,13300,2011-10-26,2024-03-06,14780,0,C++,719,3846,84.24972617743703
inancgumus/learngo,18208,2018-10-15,2024-03-06,62,0,Go,7,29,80.55555555555556
leiurayer/downkyi,18206,2020-12-26,2024-03-06,13,25,C#,587,400,40.52684903748733
alibaba/weex,18202,2016-03-11,2024-03-06,1103,7,C++,52,1890,97.32234809474768
realm/SwiftLint,18187,2015-05-16,2024-03-06,2419,126,Swift,353,2121,85.73160873080032
xiaolai/everyone-can-use-english,18186,2019-03-15,2024-03-06,145,12,Jupyter Notebook,45,116,72.04968944099379
Nyr/openvpn-install,18183,2013-05-14,2024-03-06,13,0,Shell,5,869,99.4279176201373
HelloZeroNet/ZeroNet,18173,2015-01-12,2024-03-06,388,22,JavaScript,706,1457,67.36014794267221
buger/goreplay,18171,2013-05-30,2024-03-06,316,44,Go,277,457,62.26158038147139
swoole/swoole-src,18168,2012-07-21,2024-03-05,1534,237,C++,94,3251,97.1898355754858
drizzle-team/drizzle-orm,18145,2021-06-24,2024-03-06,381,65,TypeScript,575,600,51.06382978723404
huggingface/datasets,18124,2020-03-26,2024-03-06,3303,84,Python,581,2078,78.14968033095148
facebook/relay,18121,2015-08-10,2024-03-06,111,82,Rust,512,1677,76.61032434901782
be5invis/Iosevka,18097,2015-07-18,2024-03-06,329,352,JavaScript,84,1745,95.40732640787314
cilium/cilium,18082,2015-12-16,2024-03-06,18638,273,Go,926,8045,89.67785085274774
AlDanial/cloc,18080,2015-09-07,2024-03-06,149,20,Perl,25,617,96.10591900311528
quozd/awesome-dotnet,18075,2014-07-16,2024-03-06,856,0,,0,89,100.0
antonmedv/fx,18071,2018-01-25,2024-03-06,32,58,Go,8,181,95.76719576719577
micropython/micropython,18065,2013-12-20,2024-03-06,1738,18,C,1418,3744,72.53002712127082
lin-xin/vue-manage-system,18049,2016-11-30,2024-03-06,39,7,Vue,109,204,65.17571884984025
kholia/OSX-KVM,18023,2015-11-06,2024-03-06,60,0,Python,0,0,0.0
chaozh/awesome-blockchain-cn,18016,2017-03-12,2024-03-06,10,0,JavaScript,3,35,92.10526315789474
warpdotdev/Warp,18005,2021-07-08,2024-03-06,23,0,,1814,2589,58.80081762434703
openjdk/jdk,17992,2018-09-17,2024-03-06,4,0,Java,0,0,0.0
tloen/alpaca-lora,17983,2023-03-13,2024-03-06,52,0,Jupyter Notebook,328,135,29.15766738660907
facebook/hhvm,17946,2010-01-02,2024-03-06,101,15,C++,458,5467,92.27004219409282
kovidgoyal/calibre,17944,2013-05-28,2024-03-06,1906,292,Python,0,0,0.0
ossu/data-science,17943,2016-06-19,2024-03-06,27,0,,3,50,94.33962264150944
nosir/cleave.js,17929,2016-05-18,2024-03-06,132,66,JavaScript,185,328,63.93762183235867
pydantic/pydantic,17920,2017-05-03,2024-03-06,2648,133,Python,327,3450,91.34233518665607
nginx-proxy/nginx-proxy,17875,2014-05-05,2024-03-06,385,21,Python,350,982,73.72372372372372
shengcaishizhan/kkndme_tianya,17858,2019-07-18,2024-03-06,0,0,,55,14,20.28985507246377
catchorg/Catch2,17813,2010-11-08,2024-03-06,611,95,C++,373,1469,79.75027144408251
yanue/V2rayU,17785,2018-10-12,2024-03-06,33,38,,56,1231,95.64879564879564
framework7io/framework7,17776,2014-02-23,2024-03-06,479,167,JavaScript,169,3317,95.15203671830179
TheAlgorithms/C,17768,2016-07-16,2024-03-06,487,0,C,3,131,97.76119402985076
dotnet/corefx,17730,2014-11-06,2024-03-06,21887,113,,0,0,0.0
reduxjs/redux-thunk,17725,2015-07-13,2024-03-06,74,20,TypeScript,0,213,100.0
ManimCommunity/manim,17700,2020-05-19,2024-03-06,1626,26,Python,362,1038,74.14285714285714
RasaHQ/rasa,17697,2016-10-14,2024-03-06,4235,252,Python,2,6641,99.96989312057806
magic-wormhole/magic-wormhole,17691,2015-02-10,2024-03-06,146,0,Python,142,187,56.838905775075986
amark/gun,17687,2014-07-31,2024-03-06,444,17,JavaScript,268,515,65.77266922094508
microsoft/unilm,17685,2019-07-23,2024-03-06,126,3,Python,494,752,60.35313001605136
forezp/SpringCloudLearning,17684,2017-04-08,2024-03-06,0,0,Java,39,12,23.52941176470588
pqrs-org/Karabiner-Elements,17673,2016-07-11,2024-03-06,64,37,C++,984,2603,72.5676052411486
lllyasviel/style2paints,17667,2017-06-05,2024-03-06,7,0,JavaScript,44,163,78.74396135265701
Sycnex/Windows10Debloater,17659,2017-12-12,2024-03-06,38,0,PowerShell,284,196,40.833333333333336
appium/appium,17658,2013-01-09,2024-03-06,4952,970,JavaScript,147,13308,98.90746934225196
fchollet/deep-learning-with-python-notebooks,17645,2017-09-05,2024-03-06,11,0,Jupyter Notebook,141,38,21.22905027932961
recommenders-team/recommenders,17645,2018-09-19,2024-03-06,1035,12,Python,168,658,79.66101694915254
handlebars-lang/handlebars.js,17636,2010-07-31,2024-03-06,360,1,JavaScript,64,1302,95.31478770131771
sanic-org/sanic,17631,2016-05-26,2024-03-06,1261,70,Python,97,1277,92.94032023289665
airyland/vux,17618,2016-02-15,2024-03-05,333,80,Vue,386,2939,88.39097744360902
Delgan/loguru,17618,2017-08-15,2024-03-06,123,21,Python,152,778,83.65591397849462
squidfunk/mkdocs-material,17613,2016-01-28,2024-03-06,1476,380,HTML,32,2212,98.57397504456328
localtunnel/localtunnel,17602,2012-06-18,2024-03-06,32,0,JavaScript,136,404,74.81481481481481
OI-wiki/OI-wiki,17588,2018-07-11,2024-03-06,3882,0,TypeScript,114,815,87.72874058127019
npm/npm,17503,2009-09-29,2024-03-05,439,261,,2166,16499,88.39539244575408
microsoft/fluentui,17455,2016-06-06,2024-03-06,15122,14815,TypeScript,466,11755,96.18689141641437
Olshansk/interview,17444,2014-01-29,2024-03-06,36,1,,5,45,90.0
jantic/DeOldify,17442,2018-10-31,2024-03-06,77,0,Python,3,367,99.1891891891892
microsoft/CNTK,17436,2015-11-26,2024-03-06,258,32,C++,755,2543,77.10733778047302
modood/Administrative-divisions-of-China,17420,2016-10-08,2024-03-06,11,18,JavaScript,18,105,85.36585365853658
teambit/bit,17419,2017-01-22,2024-03-06,6084,125,TypeScript,28,1822,98.48648648648648
statsd/statsd,17404,2010-12-30,2024-03-05,307,0,JavaScript,50,227,81.94945848375451
darius-khll/golang-developer-roadmap,17392,2019-04-15,2024-03-06,45,0,,15,29,65.9090909090909
